Territoire;Statut;Date - Heure;Production totale (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Photovoltaïque avec stockage (MW);Eolien (MW);Bioénergies (MW);Batteries (MWh);Coût moyen de production (€/MWh)
Réunion;Validé;2018-09-15T09:00:00+04:00;362.4870424;77.00233576;121.7745313;68.27484997;83.93523791;8.413420705;1.441333333;1.645333333;0.0;
Réunion;Validé;2018-09-15T19:00:00+04:00;394.290603;158.6576193;129.159834;102.3253454;-0.018817685;0.26278871400000003;1.370833333;1.647;0.886;
Réunion;Validé;2018-09-16T09:00:00+04:00;315.5401165;22.31130988;121.2084417;73.08062851;89.54081715;8.353419278;0.534833333;0.5106666670000001;0.0;
Réunion;Validé;2018-09-16T12:00:00+04:00;311.4589798;25.65322834;120.7145806;52.49121828;101.8298108;8.524308466;0.5988333330000001;1.647;0.0;
Réunion;Validé;2018-09-16T15:00:00+04:00;275.9226005;38.37496023;131.6696393;44.4068198;51.22801076;8.192170488;0.402;1.649;0.0;
Réunion;Validé;2018-09-16T16:00:00+04:00;277.8942646;57.99939305;133.0748555;42.39330881;34.65903924;7.675001251;0.44233333300000005;1.650333333;0.0;
Réunion;Validé;2018-09-17T13:00:00+04:00;371.5744478;64.59803837;129.789089;72.90483121;90.89987217;8.852450391;2.588333333;1.941833333;0.0;
Réunion;Validé;2018-09-18T00:00:00+04:00;266.8347965;49.87129822;160.1136254;52.98745993;-0.37635369700000004;-0.090233306;2.385666667;1.943333333;0.0;
Réunion;Validé;2018-09-18T15:00:00+04:00;376.1793302;41.23490802;160.0285184;87.38963636;72.59862821;8.536305901;4.524166667;1.867166667;0.0;
Réunion;Validé;2018-09-20T18:00:00+04:00;415.7097137;132.3742374;185.3624252;93.85031591;-0.039726224000000004;0.22096145900000003;1.511666667;1.547833333;0.882;
Réunion;Validé;2018-09-20T23:00:00+04:00;305.5401969;46.2432902;165.1091953;91.5079281;-0.36485400100000004;-0.078195994;0.7663333330000001;1.5434999999999999;0.8130000000000001;
Réunion;Validé;2018-09-21T00:00:00+04:00;265.9599006;44.49634824;154.099862;65.52698988;-0.366944855;-0.076187948;0.7365;1.543333333;0.0;
Réunion;Validé;2018-11-07T17:00:00+04:00;400.9193061;192.9081188;143.0489556;52.61816208;8.442469919;1.614766453;1.212833333;0.5650000000000001;0.509;
Réunion;Validé;2018-09-21T09:00:00+04:00;382.6708934;73.84532376;127.2262556;81.63388593;89.51049977;7.813428321;1.0755;1.566;0.0;
Réunion;Validé;2018-11-08T11:00:00+04:00;445.2269743;143.4768287;139.1834003;47.442918829999996;103.9158726;8.936453911000001;1.067;1.2045;0.0;
Réunion;Validé;2018-09-22T16:00:00+04:00;323.8995621;95.23929557;135.5425144;58.73286146;28.051941;4.098949621;0.611;1.623;0.0;
Réunion;Validé;2018-11-09T09:00:00+04:00;432.0268492;127.2615026;136.8264904;67.05936107;90.33755777;8.589437378;0.5525;1.4;0.0;
Réunion;Validé;2018-11-10T06:00:00+04:00;285.7309758;111.9502613;103.4740746;55.76810156;11.30986639;1.41700526;0.16716666700000002;1.6445;0.0;
Réunion;Validé;2018-09-25T00:00:00+04:00;270.431299;72.49943582;116.3041015;79.90336076;-0.37739912400000003;-0.088199969;1.027666667;1.162333333;0.0;
Réunion;Validé;2018-11-10T16:00:00+04:00;357.9869676;114.4409529;157.7733752;44.12218726;33.27885017;5.556102087;1.1806666670000001;1.634833333;0.0;
Réunion;Validé;2018-09-25T10:00:00+04:00;395.1825666;120.1521506;146.3597339;50.07838939;68.59046133;8.199498092;0.978;0.824333333;0.0;
Réunion;Validé;2018-11-11T05:00:00+04:00;244.800766;47.61877172;155.8634987;39.32523294;-0.16403623;-0.080201124;0.5905;1.647;0.0;
Réunion;Validé;2018-09-25T12:00:00+04:00;378.0355927;155.4865003;126.7075631;16.8377656;72.59131022;4.428453514;1.163166667;0.820833333;0.0;
Réunion;Validé;2018-11-12T03:00:00+04:00;239.2657768;46.36066174;174.6905437;17.02918728;-0.385269303;-0.076179891;0.0033333330000000004;1.6435;0.0;
Réunion;Validé;2018-09-26T07:00:00+04:00;364.7917779;108.6343121;134.9407151;89.65062737;25.59623312;2.913390117;1.464;1.5925;0.0;
Réunion;Validé;2018-11-13T15:00:00+04:00;428.2698098;163.8797574;151.8695876;63.43710619;40.57738322;6.032308805;0.48433333300000003;1.989333333;0.0;
Réunion;Validé;2018-09-26T17:00:00+04:00;379.0560543;140.5495442;143.4446556;84.58989595;5.279406032;1.108052493;1.943;1.6455000000000002;0.496;
Réunion;Validé;2018-11-13T21:00:00+04:00;390.3533054;142.0571592;182.9989755;62.30714974;-0.278429917;0.014784209000000001;0.551;1.816666667;0.886;
